CASEID	COUNTY	PUBLIC_WATER_SUPPLY	POPULATION_SERVED	SAMPLING_DATE	SAMPLE_NUMBER	RAW_OR_TREATED	PFOA_PFOS_PPT	TOTAL_TESTED_PFAS_PPT	METHOD
397	BERRIEN	White Oaks Condominiums	45	17-JUL-2018	GWNT1807171420GGA	Raw Water	ND	ND	EPA 537 Rev. 1.1
398	BERRIEN	Beechwood Hills - Timber Ridge	160	17-JUL-2018	GWNT1807170905GGA	Raw Water	ND	ND	EPA 537 Rev. 1.1
399	OAKLAND	Childs Lake Estates MHC	1548	15-JUN-2018	GW1806151140EDK	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
400	JACKSON	Leoni Township	2408	19-JUL-2018	GWNT1807191050KER	Raw Water	ND	ND	EPA 537 Rev. 1.1
401	INGHAM	Highfields Youth Camp	96	13-JUL-2018	GWNT1807131030KER	Raw Water	ND	ND	EPA 537 Rev. 1.1
402	INGHAM	Country Manor M H P	98	13-JUL-2018	GWNT1807131110KER-FD	Raw Water	ND	ND	EPA 537 Rev. 1.1
403	INGHAM	Highfields Youth Camp	96	13-JUL-2018	GWNT1807131000KER	Raw Water	ND	ND	EPA 537 Rev. 1.1
404	JACKSON	Hillanlake Village	372	16-JUL-2018	GWIN1807161015KER	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
405	WASHTENAW	Ann Arbor	127855	17-JUL-2018	SWEF1807171545GSC	Treated Drinking Water	4	24	EPA 537 Rev. 1.1
406	LIVINGSTON	Woodland Park and Sales	162	18-JUL-2018	GWNT1807181345GSC	Raw Water	ND	2	EPA 537 Rev. 1.1
407	INGHAM	Webberville, Village of	1503	12-JUL-2018	GWEF1807121110KER	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
408	MONTCALM	Sheridan Estates	65	03-JUL-2018	GWIN1807031050GSC	Raw Water	ND	ND	EPA 537 Rev. 1.1
409	INGHAM	Webberville, Village of	1503	12-JUL-2018	GWEF1807121130KER	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
410	WASHTENAW	Ann Arbor	127855	17-JUL-2018	SWEF1807171545GSC	Treated Drinking Water	4	39	Isotope Dilution
411	JACKSON	Summit Township	20012	06-JUL-2018	GWEF1807061115KER	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
412	JACKSON	Leoni Township	2408	19-JUL-2018	GWEF1807191120KER	Raw Water	ND	ND	EPA 537 Rev. 1.1
413	CASS	Mills Trailer Court	60	26-JUL-2018	GWNT1807260900GGA	Raw Water	ND	ND	EPA 537 Rev. 1.1
414	IONIA	Ionia	12000	13-JUL-2018	GWIN1807120930GGA	Raw Water	ND	ND	EPA 537 Rev. 1.1
415	JACKSON	Arbor Village	670	11-JUL-2018	GWEF1807110900KER	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
416	JACKSON	Summit Township	20012	06-JUL-2018	GWEF1807061225KER	Raw Water	ND	ND	EPA 537 Rev. 1.1
417	CASS	Colony Bay Condominiums	75	26-JUL-2018	GWNT1807260930GGA	Raw Water	ND	ND	EPA 537 Rev. 1.1
418	IONIA	Lyons	738	13-JUL-2018	GWIN1807131120GGA	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
419	WASHTENAW	Barton Hills	400	17-JUL-2018	GWEF1807171445GSC	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
420	LIVINGSTON	Green Brook Estates	40	18-JUL-2018	GWEF1807181415GSC	Raw Water	ND	ND	EPA 537 Rev. 1.1
421	BERRIEN	Country Acres	160	17-JUL-2018	GWNT1807171330GGA	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
422	IONIA	Lyons	738	13-JUL-2018	GWIN1807131100GGA	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
423	JACKSON	Indian Village	750	19-JUL-2018	GWEF1807190900KER	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
424	INGHAM	Country Manor M H P	98	13-JUL-2018	GWNT1807131100KER	Raw Water	ND	ND	EPA 537 Rev. 1.1
425	INGHAM	Winslow's Mobile Home Terrace	108	12-JUL-2018	GWEF1807121000KER	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
426	JACKSON	Summit Township	20012	06-JUL-2018	GWEF1807061255KER	Raw Water	ND	ND	EPA 537 Rev. 1.1
427	JACKSON	Sherman Oaks	915	11-JUL-2018	GWNT1807110945KER	Raw Water	ND	ND	EPA 537 Rev. 1.1
428	JACKSON	Summit Township	20012	06-JUL-2018	GWEF1807061315KER	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
429	INGHAM	Williamston, City of	3975	12-JUL-2018	GWEF1807121245KER	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
430	BERRIEN	Beechwood Hills - Timber Ridge	160	17-JUL-2018	GWNT1807170900GGA	Raw Water	ND	ND	EPA 537 Rev. 1.1
431	JACKSON	Jackson	50923	11-JUL-2018	GWEF1807110830KER	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
432	INGHAM	East Lansing Meridian Water Authority	74824	12-JUL-2018	GWEF1807120915KER	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
433	WASHTENAW	Barton Hills	400	17-JUL-2018	GWEF1807171500GSC	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
434	JACKSON	Summit Township	20012	06-JUL-2018	GWEF1807061245KER	Raw Water	ND	ND	EPA 537 Rev. 1.1
435	BERRIEN	Riverfront Condos of Niles	90	17-JUL-2018	GWIN1807171300GGA	Raw Water	ND	ND	EPA 537 Rev. 1.1
436	JACKSON	Sherman Oaks	915	11-JUL-2018	GWNT1807111000KER	Raw Water	ND	ND	EPA 537 Rev. 1.1
437	CASS	Autumn Hills	50	26-JUL-2018	GWNT1807261000GGA	Raw Water	ND	ND	EPA 537 Rev. 1.1
438	JACKSON	Summit Township	20012	06-JUL-2018	GWNT1807061010KER	Raw Water	ND	ND	EPA 537 Rev. 1.1
439	IONIA	Ionia	12000	13-JUL-2018	GWIN1807130900GGA	Raw Water	ND	ND	EPA 537 Rev. 1.1
440	BERRIEN	Country View Manor Condos	62	17-JUL-2018	GWNT1807170930GGA	Raw Water	ND	ND	EPA 537 Rev. 1.1
441	BERRIEN	Country Acres	160	17-JUL-2018	GWNT1807171345GGA	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
442	EATON	Blue Water Village Well Site, LLC	94	27-JUN-2018	GWEF1806271600GSC	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
443	JACKSON	Summit Township	20012	06-JUL-2018	GWEF1807061050KER	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
444	IONIA	Lyons	738	13-JUL-2018	GWIN1807131125GGA-FD	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
445	INGHAM	Windmill Park	950	12-JUL-2018	GWNT1807120830KER	Raw Water	ND	ND	EPA 537 Rev. 1.1
446	INGHAM	Windmill Park	950	12-JUL-2018	GWNT1807120800KER	Raw Water	ND	ND	EPA 537 Rev. 1.1
447	JACKSON	Leoni Township	2408	19-JUL-2018	GWNT1807191040KER	Raw Water	ND	ND	EPA 537 Rev. 1.1
448	WASHTENAW	Ann Arbor	127855	17-JUL-2018	SWIN1807171555GSC	Raw Water	11	52	Isotope Dilution
449	INGHAM	Willow Village	65	12-JUL-2018	GWEF1807121040KER	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
450	IONIA	Ionia	12000	13-JUL-2018	GWIN1807131000GGA	Raw Water	ND	ND	EPA 537 Rev. 1.1
451	JACKSON	Leoni Township	2408	19-JUL-2018	GWNT1807191110KER	Raw Water	ND	ND	EPA 537 Rev. 1.1
452	JACKSON	Summit Township	20012	06-JUL-2018	GWEF1807061215KER	Raw Water	ND	ND	EPA 537 Rev. 1.1
453	JACKSON	Pleasant Lake Mobile Home Park	145	11-JUL-2018	GWNT1807111130KER	Raw Water	ND	ND	EPA 537 Rev. 1.1
454	INGHAM	Country Manor M H P	98	13-JUL-2018	GWNT1807131130KER	Raw Water	ND	ND	EPA 537 Rev. 1.1
455	INGHAM	Highfields Youth Camp	96	13-JUL-2018	GWNT1807131015KER	Raw Water	ND	ND	EPA 537 Rev. 1.1
456	INGHAM	Winslow's Mobile Home Terrace	108	12-JUL-2018	GWEF1807121020KER	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
457	BERRIEN	Ontario Place	248	17-JUL-2018	GWNT1807171430GGA	Raw Water	ND	ND	EPA 537 Rev. 1.1
458	INGHAM	Hamlin Mobile Home Park	425	12-JUL-2018	GWEF1807121200KER	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
459	JACKSON	Lakeshore Condominiums	38	16-JUL-2018	GWEF1807161100KER	Raw Water	ND	ND	EPA 537 Rev. 1.1
460	BERRIEN	Riverbrooke Home Owners Association	37	17-JUL-2018	GWNT1807171400GGA	Raw Water	ND	ND	EPA 537 Rev. 1.1
461	JACKSON	Summit Township	20012	06-JUL-2018	GWEF1807061030KER	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
462	INGHAM	Eagle Point Condominiums	90	16-JUL-2018	GWNT1807160830KER	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
463	BERRIEN	Chalet Du Paw Paw Condominiums	95	17-JUL-2018	GWNT1807171000GGA	Raw Water	ND	ND	EPA 537 Rev. 1.1
464	WAYNE	Great Lakes Water Authority	3689400	09-JUL-2018	SWEF1807091310GSC	Treated Drinking Water	ND	ND	Isotope Dilution
465	WAYNE	Grosse Pointe Farms	14900	17-JUL-2018	SWEF1807171020GSC	Treated Drinking Water	ND	ND	Isotope Dilution
466	WAYNE	Grosse Pointe Farms	14900	17-JUL-2018	SWIN1807171015GSC	Raw Water	ND	ND	Isotope Dilution
467	WAYNE	Great Lakes Water Authority	3689400	09-JUL-2018	SWEF1807091550GSC	Treated Drinking Water	ND	ND	Isotope Dilution
468	WAYNE	Great Lakes Water Authority	3689400	09-JUL-2018	SWEF1807091140GSC	Treated Drinking Water	ND	ND	Isotope Dilution
469	WAYNE	Great Lakes Water Authority	3689400	09-JUL-2018	SWIN1807091150GSC	Raw Water	ND	ND	Isotope Dilution
470	WAYNE	Great Lakes Water Authority	3689400	09-JUL-2018	SWIN1807091420GSC	Raw Water	ND	ND	Isotope Dilution
471	WAYNE	Great Lakes Water Authority	3689400	09-JUL-2018	SWEF1807091410GSC	Treated Drinking Water	ND	ND	Isotope Dilution
472	WAYNE	Great Lakes Water Authority	3689400	09-JUL-2018	SWIN1807091320GSC	Raw Water	ND	ND	Isotope Dilution
473	BERRIEN	Coloma	2980	16-JUL-2018	GWIN1807161005GGA	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
474	WAYNE	Great Lakes Water Authority	3689400	09-JUL-2018	SWEF1807091310GSC	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
475	BERRIEN	Coloma	2980	16-JUL-2018	GWIN1807161000GGA	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
476	WAYNE	Great Lakes Water Authority	3689400	09-JUL-2018	SWEF1807091550GSC	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
477	WAYNE	Great Lakes Water Authority	3689400	09-JUL-2018	SWEF1807091140GSC	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
478	LIVINGSTON	Brighton, City of	7636	18-JUL-2018	GWEF1807181300GSC	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
479	LIVINGSTON	Brighton, City of	7636	18-JUL-2018	GWEF1807181320GSC	Treated Drinking Water	ND	2	EPA 537 Rev. 1.1
480	BERRIEN	Coloma	2980	16-JUL-2018	GWIN1807161020GGA	Raw Water	ND	ND	EPA 537 Rev. 1.1
481	WAYNE	Grosse Pointe Farms	14900	17-JUL-2018	SWEF1807171020GSC	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
482	BERRIEN	Coloma	2980	16-JUL-2018	GWIN1807161010GGA	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
483	WAYNE	Great Lakes Water Authority	3689400	09-JUL-2018	SWEF1807091410GSC	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
484	CALHOUN	Twin Pines Mobile Home Park	182	24-JUL-2018	GWNT1807241100KER	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
485	LIVINGSTON	Hartland Hills Condominiums	100	25-JUL-2018	GWEF1807251145GSC	Raw Water	ND	ND	EPA 537 Rev. 1.1
486	BERRIEN	Three Oaks	1622	19-JUL-2018	GWEF1807191230GGA	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
487	JACKSON	Spring Valley Estates	248	19-JUL-2018	GWNT1807191500KER	Raw Water	ND	ND	EPA 537 Rev. 1.1
488	LIVINGSTON	Fonda Lake Water Authority	1200	25-JUL-2018	GWEF1807231045GSC	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
489	LIVINGSTON	MHOG Sewer & Water Authority	12860	25-JUL-2018	GWEF1807250900GSC	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
490	BERRIEN	Riverside Estates	218	24-JUL-2018	GWEF1807240900GGA	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
491	JACKSON	Springport	800	17-JUL-2018	GWIN1807171315KER	Raw Water	ND	ND	EPA 537 Rev. 1.1
492	LIVINGSTON	Hartland Township	2200	25-JUL-2018	GWEF1807251315GSC	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
493	LENAWEE	Deerfield	943	02-AUG-2018	SWIN1808021020GSC	Raw Water	ND	8	Isotope Dilution
494	JACKSON	Concord	1050	24-JUL-2018	GWEF1807241020KER	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
495	LIVINGSTON	Bishop Lake Apartments	50	25-JUL-2018	GWEF1807250810GSC	Raw Water	ND	ND	EPA 537 Rev. 1.1
496	BERRIEN	Buchanan	4871	19-JUL-2018	GWEF1807191430GGA	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
497	JACKSON	Concord	1050	24-JUL-2018	GWEF1807241000KER	Treated Drinking Water	ND	3	EPA 537 Rev. 1.1
498	LENAWEE	Deerfield	943	02-AUG-2018	SWEF1808021030GSC	Treated Drinking Water	ND	ND	Isotope Dilution
499	BERRIEN	Niles	16485	24-JUL-2018	GWEF1807241100GGA	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
500	BERRIEN	Niles	16485	24-JUL-2018	GWEF1807241000GGA	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
501	LENAWEE	Deerfield	943	02-AUG-2018	SWEF1808021030GSC	Treated Drinking Water	ND	2	EPA 537 Rev. 1.1
502	JACKSON	Springport	800	17-JUL-2018	GWIN1807171300KER	Raw Water	ND	3	EPA 537 Rev. 1.1
503	BERRIEN	Niles	16485	24-JUL-2018	GWEF1807240930GGA	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
504	LIVINGSTON	Oak Pointe	1900	25-JUL-2018	GWEF1807250930GSC	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
505	BERRIEN	Niles	16485	24-JUL-2018	GWEF1807241035GGA	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
506	LIVINGSTON	Fairlawn Meadows	120	25-JUL-2018	GWNT1807251500GSC	Raw Water	ND	ND	EPA 537 Rev. 1.1
507	BERRIEN	Lake Michigan Beach Resort Pottawattamie	80	20-JUL-2018	GWNT1807201130GGA	Raw Water	ND	ND	EPA 537 Rev. 1.1
508	KENT	Grand Rapids	329500	20-APR-2018	SWR1804201015GSC	Raw Water	2	2	Isotope Dilution
509	BERRIEN	Watervliet	2735	23-JUL-2018	GWEF1807231030GGA	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
510	WASHTENAW	Dexter	4160	24-JUL-2018	GWEF1807241550GSC	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
511	WASHTENAW	Copper Meadows	128	24-JUL-2018	GWEF1807241420GSC-FD	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
512	BERRIEN	Benton Harbor	9970	20-JUL-2018	SWEF1807201010GGA	Treated Drinking Water	ND	ND	Isotope Dilution
513	JACKSON	Coachmans Cove	625	20-JUL-2018	GWEF1807201200KER	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
514	BERRIEN	St Joseph	35569	20-JUL-2018	SWEF1807200930GGA	Treated Drinking Water	2	2	EPA 537 Rev. 1.1
515	KENT	Grand Rapids	329500	20-APR-2018	SWT1804201025GSC	Treated Drinking Water	2	2	EPA 537 Rev. 1.1
516	BERRIEN	Bridgman	2291	19-JUL-2018	SWEF1807191020GGA	Treated Drinking Water	ND	ND	Isotope Dilution
517	WASHTENAW	Dexter	4160	24-JUL-2018	GWEF1807241530GSC	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
518	LIVINGSTON	Howell, City of	9232	23-JUL-2018	GWEF1807230930GSC	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
519	JACKSON	Grass Lake	1360	20-JUL-2018	GWEF1807201100KER	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
520	WASHTENAW	Orchard Grove	725	24-JUL-2018	GWEF1807240845GSC	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
521	WASHTENAW	Pleasant Lake Mobile Home Park	60	24-JUL-2018	GWIN1807240905GSC	Raw Water	ND	ND	EPA 537 Rev. 1.1
522	CALHOUN	Battle Creek - Verona System	51284	25-JUL-2018	GWEF1807251430	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
523	LIVINGSTON	Woodruff Lake Co-Op Apartments	95	23-JUL-2018	GWEF1807231100GSC	Raw Water	ND	ND	EPA 537 Rev. 1.1
524	LIVINGSTON	Fairlane Estates	150	25-JUL-2018	GWNT1807251230	Raw Water	ND	ND	EPA 537 Rev. 1.1
525	WASHTENAW	Copper Meadows	128	24-JUL-2018	GWEF1807241415GSC	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
526	BERRIEN	New Buffalo	1940	19-JUL-2018	SWIN1807191120GGA	Raw Water	ND	ND	Isotope Dilution
527	BERRIEN	St Joseph	35569	20-JUL-2018	SWIN1807200940GGA	Raw Water	ND	ND	Isotope Dilution
528	BERRIEN	Bridgman	2291	19-JUL-2018	SWIN18071910GGA	Raw Water	2	2	Isotope Dilution
529	WASHTENAW	Northville Crossing	1890	24-JUL-2018	GWEF1807241315GSC	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
530	BERRIEN	Bridgman	2291	19-JUL-2018	SWEF1807191020GGA	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
531	BERRIEN	Benton Harbor	9970	20-JUL-2018	SWIN1807201000GGA	Raw Water	ND	ND	Isotope Dilution
532	LIVINGSTON	Woodruff Lake Co-Op Apartments	95	23-JUL-2018	GWEF1807231110GSC	Raw Water	ND	ND	EPA 537 Rev. 1.1
533	WASHTENAW	Saline Valley Farms	36	24-JUL-2018	GWEF1807240945GSC	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
534	LIVINGSTON	Greenfield Pointe Subdivision	320	19-JUL-2018	GWEF1807191400GSC	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
535	BERRIEN	New Buffalo	1940	19-JUL-2018	SWEF1807191130GGA	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
536	JACKSON	Lilly Bank Lane	48	20-JUL-2018	GWNT1807201000KER	Raw Water	ND	ND	EPA 537 Rev. 1.1
537	KENT	Grand Rapids	329500	20-APR-2018	SWT1804201020GSC	Treated Drinking Water	ND	3	Isotope Dilution
538	BERRIEN	Benton Charter Township	6620	20-JUL-2018	SWEF1807201110GGA	Treated Drinking Water	ND	ND	Isotope Dilution
539	JACKSON	Coffmans Trailer Park	100	20-JUL-2018	GWNT1807201030KER	Raw Water	ND	ND	EPA 537 Rev. 1.1
540	BERRIEN	Lake Pointe Condominiums	74	23-JUL-2018	GWEF1807231000GGA	Raw Water	ND	ND	EPA 537 Rev. 1.1
541	BERRIEN	Benton Harbor	9970	20-JUL-2018	SWEF1807201010GGA	Raw Water	ND	ND	EPA 537 Rev. 1.1
542	BERRIEN	St Joseph	35569	20-JUL-2018	SWEF1807200930GGA	Treated Drinking Water	ND	ND	Isotope Dilution
543	BERRIEN	New Buffalo	1940	19-JUL-2018	SWEF1807191130GGA	Treated Drinking Water	2	2	Isotope Dilution
544	LIVINGSTON	Silver Lake Mobile Home Park	68	23-JUL-2018	GWEF1807231145GSC	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
545	BERRIEN	Benton Charter Township	6620	20-JUL-2018	SWIN1807201100GGA	Raw Water	ND	ND	Isotope Dilution
546	BERRIEN	Benton Charter Township	6620	20-JUL-2018	SWEF1807201110GGA	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
547	LIVINGSTON	Green Oak Twp - Centennial Farms	900	23-JUL-2018	GWEF1807231400GSC	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
548	KENT	Sparta	4140	18-APR-2018	GW1804181245CKA	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
549	KENT	Sparta	4140	18-APR-2018	GW1804181255CKA	Raw Water	ND	ND	EPA 537 Rev. 1.1
550	LENAWEE	Blissfield	3340	02-AUG-2018	SWEF1808021115GSC	Treated Drinking Water	ND	4	Isotope Dilution
551	LENAWEE	Blissfield	3340	02-AUG-2018	SWEF1808021115GSC	Treated Drinking Water	ND	3	EPA 537 Rev. 1.1
552	INGHAM	Michigan State University	13900	18-JUL-2018	GWNT1807181155KER	Raw Water	ND	ND	EPA 537 Rev. 1.1
553	NEWAYGO	Fremont	4081	11-JUL-2018	GWIN1807111310GGA	Treated Drinking Water	2	2	EPA 537 Rev. 1.1
554	INGHAM	Michigan State University	13900	18-JUL-2018	GWNT1807181045KER	Raw Water	ND	ND	EPA 537 Rev. 1.1
555	INGHAM	Michigan State University	13900	18-JUL-2018	GWNT1807181300KER	Raw Water	ND	ND	EPA 537 Rev. 1.1
556	NEWAYGO	Fremont	4081	11-JUL-2018	GWIN1807111220GGA	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
557	ALLEGAN	Swan Lake Mobile Estates	100	09-JUL-2018	GWNT1807091235KER	Raw Water	ND	ND	EPA 537 Rev. 1.1
558	INGHAM	Mason Manor	630	10-JUL-2018	GWNT1807101215KER	Raw Water	ND	ND	EPA 537 Rev. 1.1
559	INGHAM	Mason, City of	8252	10-JUL-2018	GWEF1807100830KER	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
560	NEWAYGO	Fremont	4081	11-JUL-2018	GWIN1807111350GGA	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
561	INGHAM	Michigan State University	13900	18-JUL-2018	GWNT1807181130KER	Raw Water	ND	ND	EPA 537 Rev. 1.1
562	NEWAYGO	Fremont	4081	11-JUL-2018	GWIN1807111340GGA	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
563	LENAWEE	Blissfield	3340	02-AUG-2018	SWIN1808021125GSC	Raw Water	4	8	Isotope Dilution
564	INGHAM	Michigan State University	13900	18-JUL-2018	GWNT1807181330KER	Raw Water	ND	ND	EPA 537 Rev. 1.1
565	INGHAM	Michigan State University	13900	18-JUL-2018	GWEF1807181350KER	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
566	NEWAYGO	Fremont	4081	11-JUL-2018	GWIN1807111300GGA	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
567	WASHTENAW	Sisters of Mary, Mother of Eucharist	100	16-JUL-2018	GWEF1807161245GSC	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
568	INGHAM	Michigan State University	13900	18-JUL-2018	GWNT1807181220KER	Raw Water	ND	ND	EPA 537 Rev. 1.1
569	INGHAM	Michigan State University	13900	18-JUL-2018	GWNT1807181105KER	Raw Water	ND	ND	EPA 537 Rev. 1.1
570	INGHAM	Michigan State University	13900	18-JUL-2018	GWNT1807181345KER	Raw Water	ND	ND	EPA 537 Rev. 1.1
571	INGHAM	Michigan State University	13900	18-JUL-2018	GWNT1807181240KER	Raw Water	ND	ND	EPA 537 Rev. 1.1
572	NEWAYGO	Fremont	4081	11-JUL-2018	GWIN1807111210GGA	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
573	INGHAM	Michigan State University	13900	18-JUL-2018	GWNT1807181310KER	Raw Water	ND	ND	EPA 537 Rev. 1.1
574	INGHAM	Michigan State University	13900	18-JUL-2018	GWNT1807181140KER	Raw Water	ND	ND	EPA 537 Rev. 1.1
575	INGHAM	Michigan State University	13900	18-JUL-2018	GWNT1807181120KER	Raw Water	ND	ND	EPA 537 Rev. 1.1
576	NEWAYGO	Fremont	4081	11-JUL-2018	GWIN1807111230GGA	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
577	JACKSON	Willows on Twin Ponds	147	16-JUL-2018	GWIN1807161145KER	Raw Water	ND	ND	EPA 537 Rev. 1.1
578	INGHAM	Michigan State University	13900	18-JUL-2018	GWNT1807181210KER	Raw Water	ND	ND	EPA 537 Rev. 1.1
579	JACKSON	Willows on Twin Ponds	147	16-JUL-2018	GWIN1807161155KER	Raw Water	ND	ND	EPA 537 Rev. 1.1
580	NEWAYGO	Fremont	4081	11-JUL-2018	GWIN1807111200GGA	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
581	INGHAM	Mason Manor	630	10-JUL-2018	GWNT1807101225KER	Raw Water	ND	ND	EPA 537 Rev. 1.1
582	OAKLAND	South Lyon, City of	11055	31-JUL-2018	GWEF1807311500GSC	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
583	LIVINGSTON	Hartland Meadows	1175	31-JUL-2018	GWEF1807311400GSC	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
584	INGHAM	Stockbridge, Village of	1202	23-JUL-2018	GWEF1807231045KER	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
585	NEWAYGO	Newaygo	1976	31-JUL-2018	GWEF1807311200KER	Raw Water	ND	6	EPA 537 Rev. 1.1
586	CLINTON	Westphalia, Village of	925	27-JUL-2018	GWNT1807271045KER	Raw Water	ND	ND	EPA 537 Rev. 1.1
587	CLINTON	Westphalia, Village of	925	27-JUL-2018	GWNT1807271100KER	Raw Water	ND	ND	EPA 537 Rev. 1.1
588	KEWEENAW	Grant Township - Copper Harbor	90	30-JUL-2018	GWEF1807300900GGA	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
589	GENESEE	Gunther Mobile Home Court Inc	105	09-AUG-2018	GWNT1808091050GSC	Raw Water	ND	ND	EPA 537 Rev. 1.1
590	BERRIEN	Paw Paw Lake MH Park	122	23-JUL-2018	GWNT1807231100GGA	Raw Water	ND	ND	EPA 537 Rev. 1.1
591	INGHAM	Lansing Board of Water & Light	193500	27-JUL-2018	GWEF1807270950KER	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
592	KEWEENAW	Eagle Harbor Township	80	30-JUL-2018	GWEF1807300930GGA	Raw Water	ND	ND	EPA 537 Rev. 1.1
593	BERRIEN	Paw Paw Lake MH Park	122	23-JUL-2018	GWNT1807231130GGA	Raw Water	ND	ND	EPA 537 Rev. 1.1
594	NEWAYGO	Grant	894	31-JUL-2018	GWMP1807311100KER	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
595	HOUGHTON	Chassell Township	800	31-JUL-2018	GWEF1807311230GGA	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
596	NEWAYGO	Newaygo	1976	31-JUL-2018	GWEF1807311220KER	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
597	INGHAM	Sunset Mobile Home Park	88	27-JUL-2018	GWNT1807271230KER	Raw Water	ND	ND	EPA 537 Rev. 1.1
